Title,Image|URL,PackageDescription,Price|Currency
"Standard 14"" Laptop - Dell Latitude 5490",https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/Dell%205490%2014%20inch.jpg?csf=1&e=crqk6a,"8th Generation Intel Core i5-7300U (Dual Core, 2.6GHz, 3MB cache)
8G (1 X 8G) DDR4 Memory
M.2 256GB SATA Class 20 Solid State Drive
35.6cm (14.0'') Non-Touch Anti-Glare HD (1366 x 768)",608.24
"Standard 12"" Laptop - Dell Latitude 5290",https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/Dell%20Latitude%205290.jpg?csf=1&e=joITwI,"8th Generation Intel Core i5-7300U (Dual Core, 2.6GHz, 3MB cache)
8G (1 X 8G) DDR4 Memory
M.2 256GB SATA Class 20 Solid State Drive
31.8cm (12.5"") Non-Touch Anti-Glare HD (1366 x 768)",622.51
"Standard 15.6"" CAD Laptop - Dell Precision 7520",https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/Dell%20Precision%207520.jpg?csf=1&e=5Dh95q,"Intel Core i7-7700HQ (Quad Core 2.80GHz, 3.80GHz Turbo, 6MB 35W)
16GB (2x8GB) 2400MHz DDR4 Non-ECC SDRAM
256GB M.2 PCIe Solid State Drive Class 40
15.6 UltraSharp UHD IGZO (3840x2160) panel
Nvidia Quadro M2200 with 4GB GDDR5","1,711.17"
Standard Desktop - Dell OptiPlex 3050,https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/3050%20Tiny%20Desktop.jpg?csf=1&e=kZ5eTj,"Intel Core i5-7500T (QC/6MB/4T/2.7GHz/35W)
8GB (1x8GB) 2400MHz DDR4
500GB 2.5inch Serial ATA (7,200 Rpm) Hard Drive",398.73
Standard CAD Desktop - Dell Precision 5810,https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/5810%20Dell%20Precision.jpg?csf=1&e=OrcWQZ,"Intel Xeon Processor E5-2630 v4(10C, 2.2Ghz, 3.1 Ghz Turbo, 2133Mhz, 25Mb, 85W)
16GB (4x4GB) 2400MHz DDR4 RDIMM ECC
2.5"" 512GB SATA Class 20 Solid State Drive
Quadro M4000 8GB, 4DP, (PWS T XX10)","1,863.15"
"Standard 12.3"" Tablet - Microsoft Surface Pro",https://kier.sharepoint.com/sites/ITRequestsPortal/Starter%20Form%20Images/Microsoft%20Surface%20Pro.jpg?csf=1&e=AEgKaQ,"Intel 7th Generation Core i5 - 7300U 3.5GHz
8GB RAM
256 Solid State Drive
29.21 x 0.84 x 20.07 cm","1,166.76"
